profile_id,country,profile_label,career_start_dt,last_observed_dt,duration_observed_months,event_a,time_to_event_a_months,event_b,time_to_event_b_months,baseline_seniority,number_of_roles,lcnc_share,profile_label_primary,career_start_year
71,Romania,Traditional Software Development,2021-09-01,2026-04-10,55.0,0,55.0,0,55.0,2.0,3,0.0,Traditional Software Development,2021.0
72,Romania,Traditional Software Development,2010-11-01,2026-04-10,185.0,1,58.0,1,58.0,3.0,3,0.0,Traditional Software Development,2010.0
73,Romania,Traditional Software Development,2019-07-01,2026-04-10,81.0,0,81.0,0,81.0,2.0,4,0.0,Traditional Software Development,2019.0
74,Romania,Traditional Software Development,2012-07-01,2026-04-10,165.0,0,165.0,0,165.0,1.0,4,0.0,Traditional Software Development,2012.0
75,Romania,Traditional Software Development,2023-06-01,2026-04-10,34.0,0,34.0,0,34.0,1.0,4,0.0,Traditional Software Development,2023.0
76,Romania,Traditional Software Development,2022-10-01,2026-04-10,42.0,1,4.0,1,4.0,0.0,6,0.0,Traditional Software Development,2022.0
77,Romania,Traditional Software Development,2007-07-01,2026-04-10,225.0,0,225.0,0,225.0,3.0,4,0.0,Traditional Software Development,2007.0
78,Romania,Mixed,2021-10-01,2026-04-10,54.0,0,54.0,0,54.0,3.0,3,0.6666666666666666,Excluded_Other_Mixed,2021.0
79,Romania,Mixed,2020-01-01,2026-04-10,75.0,0,75.0,0,75.0,3.0,2,0.5,Excluded_Other_Mixed,2020.0
80,Romania,LCNC,2019-06-01,2026-04-10,82.0,0,82.0,0,82.0,1.0,5,0.75,LCNC,2019.0
81,Romania,LCNC,2018-07-01,2026-04-10,93.0,0,93.0,0,93.0,1.0,6,1.0,LCNC,2018.0
82,Romania,Mixed,2022-05-01,2026-04-10,47.0,0,47.0,0,47.0,1.0,3,0.5,Excluded_Other_Mixed,2022.0
83,Romania,LCNC,2022-06-01,2026-02-01,44.0,0,44.0,0,44.0,0.0,5,1.0,LCNC,2022.0
84,Romania,LCNC,2022-02-01,2026-04-10,50.0,0,50.0,0,50.0,3.0,2,1.0,LCNC,2022.0
85,Romania,Traditional Software Development,2011-02-01,2026-04-10,182.0,1,171.0,1,171.0,3.0,4,0.0,Traditional Software Development,2011.0
86,Romania,Mixed,2022-03-01,2026-04-10,49.0,0,49.0,0,49.0,2.0,2,0.5,Excluded_Other_Mixed,2022.0
87,Romania,Traditional Software Development,2022-07-01,2026-04-10,45.0,0,45.0,0,45.0,1.0,4,0.25,Traditional Software Development,2022.0
88,Romania,LCNC,2022-07-01,2026-04-10,45.0,0,45.0,0,45.0,1.0,4,1.0,LCNC,2022.0
89,Romania,LCNC,2020-01-01,2026-04-10,75.0,0,75.0,0,75.0,1.0,5,1.0,LCNC,2020.0
90,Romania,LCNC,2022-11-01,2026-04-10,41.0,0,41.0,0,41.0,3.0,1,1.0,LCNC,2022.0
91,Romania,LCNC,2021-07-01,2026-04-10,57.0,0,57.0,0,57.0,3.0,1,1.0,LCNC,2021.0
92,Romania,LCNC,2015-03-01,2026-04-10,133.0,1,36.0,1,36.0,0.0,6,1.0,LCNC,2015.0
93,Romania,LCNC,2022-05-01,2026-04-10,47.0,0,47.0,0,47.0,1.0,4,1.0,LCNC,2022.0
94,Romania,LCNC,2016-07-01,2026-04-10,117.0,1,31.0,1,31.0,0.0,5,1.0,LCNC,2016.0
95,Romania,LCNC,2023-07-01,2026-04-10,33.0,0,33.0,0,33.0,3.0,2,1.0,LCNC,2023.0
96,Romania,LCNC,2022-07-01,2026-04-10,45.0,0,45.0,0,45.0,1.0,3,1.0,LCNC,2022.0
